conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,skill/competence,transversal,participă activ la viața civică,released,demonstrează cetățenie activă | este implicat în activități civice | desfășoare activități de vecinătate | desfășoare activități comunitare,"Se implică activ în activități de interes comun sau public, cum ar fi inițiative civice, comunitare sau de vecinătate, oportunități de voluntariat și organizații neguvernamentale.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,Aplică  aptitudini și competențe civice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,gândește critic,released,evaluează informațiile | ia în considerare opinii diferite | aplică gândire critică | evaluează informațiile și sursele acestora | evaluează critic informațiile și sursele acestora | evaluează adevărul,"Pronunță și apără hotărâri pe baza dovezilor interne și a criteriilor externe. Evaluează critic credibilitatea și fiabilitatea informațiilor înainte de a le utiliza sau de a le transmite altora. Dezvoltă o gândire independentă și critică.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Prelucrează informațiile, ideile și conceptele"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,îi implică pe ceilalți în comportamente favorabile mediului,released,promovează sustenabilitatea | promovează comportamente favorabile mediului | susține sustenabilitatea | informează despre sustenabilitate | încurajează pe ceilalți să respecte mediul,"Oferă informații despre și promovează comportamente ecologice în cadrul rețelelor sociale și la locul de muncă.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Aplică aptitudini și competențe legate de mediu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,este atent la detalii,released,acuratețe | lucrează cu atenție | lucrează într-o manieră adecvată | precizie | lucrează cu meticulozitate | lucrează cu precizie | acordă importanță detaliilor | atenție,"Îndeplinește o sarcină cu preocupare pentru toate domeniile implicate, oricât de mici ar fi acestea.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Desfășoară activități în mod eficient
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,utilizează în cunoștință de cauză sistemul de sănătate,released,gestionează medicamentele adecvate | identifică serviciul de asistență medicală potrivit | aplică măsuri de îngrijire preventivă pentru a evita vătămările fizice sau psihologice,"Identifică și selectează serviciile sau agențiile adecvate de prevenire și curative care oferă servicii de asistență medicală și gestionează în condiții de siguranță medicamentele adecvate.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Aplică aptitudini și competențe legate de sănătate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,promovează principiile democrației și ale statului de drept,released,sprijină egalitatea de gen | integrează egalitatea de gen | sprijină democrația | promovează o cultură a non-violenței | luptă împotriva discriminării | se confruntă cu discriminările | sprijină integrarea egalității de gen | demonstrează o înțelegere a valorilor comune europene | implementează politici de egalitate,"Își asumă un rol activ în promovarea principiilor democrației, justiției sociale și ale statului de drept. Combate discriminarea bazată pe identitate sau orientare etnică, culturală sau sexuală, precum și pe criterii sociale, educaționale sau economice, prin evaluarea și exprimarea implicațiilor pentru diferite grupuri ale oricărei acțiuni planificate, inclusiv legislație, politici sau programe.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,Aplică  aptitudini și competențe civice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,se exprimă într-un mod creativ,released,dansează | cântă | cântă la instrumente | se implică în exprimarea artistică | desenează | demonstrează simțul ritmului | iși exprimă ideile experiențele și emoțiile în mod creativ | pictează,"Este în măsură să utilizeze cântecul, dansul, muzica instrumentală, actoria sau artele frumoase pentru a se exprima într-un mod creativ.
	",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,Aplică  aptitudini și competențe culturale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,skill/competence,transversal,soluționează conflicte,released,este capabil să găsească compromisuri | este capabil să creeze consens | demonstrează dorința de a face compromisuri | gestionează conflictele,"Mediază conflictele și situațiile tensionate acționând între părți, încercând să faciliteze ajungerea la un acord, să reconcilieze și să rezolve probleme. Soluționează un conflict în așa fel încât niciuna dintre victime să nu se simtă tratată necorespunzător și evită în prealabil discuțiile în contradictoriu.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Comunică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,skill/competence,transversal,apreciază diversitatea expresiilor culturale și artistice,released,are simț estetic | demonstrează conștientizarea culturală | apreciază expresiile artistice | apreciază moștenirea culturală,"Dă dovadă de sensibilitate estetică, interes și deschidere față de expresiile artistice provenind din medii culturale diferite.
	",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,Aplică  aptitudini și competențe culturale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,dă dovadă de dorință de învățare,released,face dovadă autocunoașterii,Dă dovadă de o atitudine pozitivă față de cerințe noi și provocatoare care pot fi satisfăcute doar prin învățare pe tot parcursul vieții.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Demonstrează disponibilitatea de a învăța
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,skill/competence,transversal,"utilizează cu precizie echipamente, instrumente sau echipamente tehnologice",released,utilizează instrumente de precizie | folosește unelte de mână | desfășoară activități manuale | demonstrează perspicacitate tehnică,"Utilizează piese de lucru, unelte, instrumente de precizie sau echipamente, în mod independent, pentru a efectua activități manuale, cu sau fără o formare minimă.
	",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,Manipulează și controlează obiecte și echipamente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,skill/competence,transversal,își menține concentrarea pentru perioade lungi de timp,released,se concentrează pe perioade lungi de timp | lucrează concentrat,"Rămâne concentrat pe o perioadă lungă de timp pentru a judeca corect și a lua decizii adecvate.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Desfășoară activități în mod eficient
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,skill/competence,transversal,identifică probleme,released,semnalizează probleme | stabilește diagnosticul problemelor | detectează probleme,"Identifică și detectează diverse probleme și aspecte și ia decizii cu privire la cea mai bună cale de urmat. Raportează problemele în consecință atunci când este necesar.
	",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,Soluționează probleme
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,skill/competence,transversal,își menține aptitudinile fizice,released,se menține în condiții bune | adoptă un stil de viață sănătos | are grijă de aptitudinea fizică | aplică comportamente sănătoase preventive,"Adoptă și aplică comportamente sănătoase preventive, inclusiv exerciții fizice regulate, o rutină de somn sănătoasă și o dietă sănătoasă.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Aplică aptitudini și competențe legate de sănătate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,skill/competence,transversal,soluționează probleme,released,rezolvă probleme | creează strategii pentru rezolvarea problemelor | demonstrează abilități de rezolvare a problemelor | dezvoltă strategii pentru rezolvarea problemelor | acționează intuitiv | creează soluții la probleme | elaborează strategii pentru rezolvarea problemelor | pune în practică rezolvarea problemelor | gestionează problemele,"Găsește soluții la probleme practice, operaționale sau conceptuale într-o gamă largă de contexte.
	",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,Soluționează probleme
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,skill/competence,transversal,deleagă responsabilități,released,deleagă,"Deleagă responsabilități, activități și sarcini altor persoane în funcție de abilități, nivel de pregătire și competență. Se asigură că oamenii înțeleg ce ar trebui să facă și când ar trebui să facă acest lucru.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,Conduce pe alții
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,skill/competence,transversal,utilizează software de comunicare și colaborare,released,utilizează software și servicii de e-mail | comunică on-line | interacționează prin intermediul TIC | comunică prin intermediul mediilor digitale | comunică online,"Utilizează instrumente și tehnologii digitale simple pentru a comunica, a interacționa și a colabora cu ceilalți.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Utilizează dispozitivele și aplicațiile digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,skill/competence,transversal,construiește spirit de echipă,released,poiectează team building | planifică team building | organizează team building | organizează o echipă | construiește echipe,"Construiește o relație de încredere reciprocă, respect și cooperare între membrii aceleiași echipe.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,Conduce pe alții
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,skill/competence,transversal,improvizează,released,"demonstrează capacitatea de a improviza, arată telent pentru improvizație","Este în măsură să improvizeze și să reacționeze imediat și fără a planifica situații pe care nu le cunoaște anterior.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,Gândește creativ și inovativ
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,skill/competence,transversal,respectă reglementările,released,lucrează într-o manieră atentă | respectă prevederile legislative sau politice | urmează instrucțiunile și procedurile | se conformează prevederilor legislative,"Respectă normele, reglementările și orientările referitoare la un anumit domeniu sau sector și le aplică în activitatea sa de zi cu zi.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,Respectă codul de conduită etică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,skill/competence,transversal,deplasează obiecte,released,deplasează și ridică obiecte | încarcă și descarcă bunuri și materiale | efectuează activități fizice | ridică obiecte | depozitează bunuri | urcă,"Desfășoară activități fizice pentru a deplasa, încărca, descărca sau depozita obiecte sau pentru a urca structuri, manual sau cu ajutorul echipamentelor.
	",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,Manipulează și controlează obiecte și echipamente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,skill/competence,transversal,efectuează căutări pe internet,released,utilizează Yahoo! caută | utilizează Bing | utilizează Google | caută informații online | utilizează motorul de căutare | caută informații pe Internet,"Caută date, informații și conținut, prin căutări simple în medii digitale.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Utilizează dispozitivele și aplicațiile digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,skill/competence,cross-sector,administrează identitatea digitală,released,protejează viața privată și identitatea în mediul online,"Realizează și gestionează una sau mai multe identități digitale, își protejează propria reputație, se ocupă de datele pe care le creează prin intermediul mai multor instrumente, medii și servicii digitale.
	",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,comunicare și colaborare digitală | Utilizează dispozitivele și aplicațiile digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,skill/competence,transversal,demonstrează credibilitate,released,stabilește încredere | este de încredere | arată credibilitate | este onest,"Demonstrează onestitate, integritate și credibilitate la locul de muncă. Dă dovadă de loialitate față de echipa și organizația proprie, precum și de onestitate.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,Respectă codul de conduită etică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,skill/competence,transversal,demonstrează spirit antreprenorial,released,identifică oportunități | demonstrează calități de antreprenor | demonstrează voință de asumare a riscurilor | urmărește oportunități,"Dezvoltă, organizează și gestionează o întreprindere proprie, identificând și urmărind oportunitățile și mobilizând resursele, ținând cont de perspectiva unei rentabilități. Dă dovadă de o atitudine proactivă și de hotărâre pentru a reuși în afaceri
	",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,Aplică aptitudini și competențe antreprenoriale și financiare
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,skill/competence,transversal,raportează fapte,released,comunică fapte | raportează fapte sau idei | scrie minute | raportează,"Transmite informații sau relatează pe cale orală evenimentele.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Comunică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,skill/competence,transversal,aplică competențe de bază în materie de programare,released,utilizează competențele de bază în materie de codare | folosește limbaje de interogare,"Enumeră instrucțiuni simple pentru un sistem informatic în vederea rezolvării problemelor sau a îndeplinirii sarcinilor la un nivel de bază și cu orientări adecvate, dacă este necesar.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Utilizează dispozitivele și aplicațiile digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,skill/competence,transversal,creează rețele,released,menține legătura cu alte persoane | menține contactul cu ceilalți | demonstrează capacitatea de a stabili relații | realizează contacte | construiește relații eficiente | stabilește contacte | menține rețelele,"Demonstrează capacitatea de a construi relații eficiente, de a dezvolta și de a menține alianțe, contacte sau parteneriate și de a face schimb de informații cu alte persoane.
	",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,Colaborează în echipe și rețele
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,skill/competence,transversal,dă dovadă de competență interculturală,released,respectă multiculturalismul | demonstrează competență interculturală | respectă diverse contexte culturale | se adaptează la diverse culturi,Înțelege și respectă oamenii care sunt percepuți a avea afinități culturale diferite și le răspunde în mod eficient și respectuos.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,Colaborează în echipe și rețele
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,skill/competence,transversal,lucrează independent,released,să lucreze într-o manieră de sine stătătoare | muncește independent | să acționeze independent | lucrează în mod autonom | îi place să lucreze independent | lucrează de unul singur,"Dezvoltă propriile moduri de a face lucrurile, lucrând motivat cu puțină sau fără supraveghere și bazându-se pe propria persoană pentru a finaliza lucrurile.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Desfășoară activități în mod eficient
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,skill/competence,transversal,gândește în mod inovator,released,demonstrează spirit de pionier | modelează viitorul | demonstrează gandire inovatoare | gândește anticipat | inventează | este inovator | aplică gândirea inovatoare | aplică gândirea anticipată,"Dezvoltă idei sau trage concluzii care conduc la crearea și la punerea în aplicare a unor inovații sau schimbări.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,Gândește creativ și inovativ
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,skill/competence,transversal,demonstrează conștientizarea riscurilor pentru sănătate,released,"îndeplinește cerințele de sănătate și siguranță | lucrează în siguranță cu materiale periculoase | cunoaște efectele drogurilor și alcoolului asupra indivizilor, familiilor și comunităților | respectă regulile de siguranță la locul de muncă | aplică ergonomia | gestionează riscul pentru sănătate","Este în măsură să evalueze și să gestioneze riscurile pentru sănătatea personală, de exemplu prin respectarea măsurilor de siguranță în practicile de muncă, prin aplicarea măsurilor de protecție împotriva incendiilor, prin respectarea și aplicarea principiilor ergonomice și prin luarea în considerare a efectelor drogurilor și alcoolului asupra persoanelor, familiilor și comunităților.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Aplică aptitudini și competențe legate de sănătate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,skill/competence,transversal,gândește în mod creativ,released,lucrează conceptual | promovează creativitatea în gândire,"Generează idei noi sau le combină pe cele existente pentru a dezvolta soluții inovatoare și noi.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,Gândește creativ și inovativ
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,skill/competence,transversal,gândește holistic,released,aplică gândirea conceptuală | înțelege complexitatea | recunoaște conexiunile | aplicară gândirea sistemică | identifică problemele cheie în situații complexe. | demonstrează gândire holistică | identifică relațiile reciproce | înțelege procesele complexe,"Ia în considerare consecințele indirecte și pe termen lung în planificarea și luarea deciziilor. Ține cont de efectele asupra altor persoane, procese și asupra mediului și le include în planificarea proprie.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Prelucrează informațiile, ideile și conceptele"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,skill/competence,transversal,ia decizii,released,decide | alege,Alege din mai multe posibilități alternative.,http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Adoptă o abordare proactivă
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d822b4b2-26c7-4bd9-970d-229c6504f615,skill/competence,transversal,creează conținut digital,released,,"Creează și editează elemente simple de conținut digital, însoțite, după caz, de orientări.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Utilizează dispozitivele și aplicațiile digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,skill/competence,transversal,gestionează timpul,released,stabilește priorități legate de timp | definește etape | stabilește termene limită | respectă programele | planifică timpul | respectă termenele limită,"Planifică succesiunea în timp a evenimentelor, programelor și activităților, precum și munca altora.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Desfășoară activități în mod eficient
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,skill/competence,transversal,aplică standarde de igienă,released,urmărește practicile de igienă la locul de muncă | se conformează practicilor de igienă de la locul de muncă | identifică riscurile de igienă | are grijă de igienă | se îngrijește de igienă | se îngrijește de curățenie | se ocupă de igiena,"Își asumă responsabilitatea personală pentru a garanta un mediu profesional și de viață sigur și neinfecțios, inclusiv utilizarea măștilor, a produselor de dezinfectare și igiena personală generală.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Aplică aptitudini și competențe legate de sănătate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,skill/competence,transversal,evaluează în mod critic informațiile și sursele acestora,released,evaluează informațiile | verifică sursa informațiilor | analizează informațiile | verifică informațiile | înțelege rolul mass-mediei în societățile democratice | apreciază informațiile | verifică veridicitatea | detectează părtinirile,"Este în măsură să evalueze și să analizeze informațiile și sursele acestora. Demonstrează capacitate de a accesa și de a avea o înțelegere critică atât a formelor tradiționale, cât și a celor noi de mass-media, precum și a rolului și funcției acestora în societățile democratice.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,Aplică  aptitudini și competențe civice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,skill/competence,transversal,gestionează bolile cronice,released,"utilizează aparate pentru auz, văz sau mers | caută îngrijirea adecvată","Identifică și utilizează modalități de reducere la minimum a efectelor negative ale afecțiunilor cronice, inclusiv utilizarea de dispozitive auxiliare pentru văz, auz și mers, medicamente adecvate și sprijin social și medical adecvat.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Aplică aptitudini și competențe legate de sănătate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,skill/competence,transversal,aplică cunoștințe în domeniul științelor sociale și umaniste,released,demonstrează cunoștințe sociale | demonstrează cunoștințe despre istoria europeană | înțelege rolul mișcărilor sociale în societate | demonstrează interes pentru politică,"Demonstrează o înțelegere a naturii, a pluralității și a funcției grupurilor sociale și politice, precum și a relației acestora cu dimensiunea socioeconomică a societății. Înțelege rolul și locul indivizilor în societate.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,Aplică cunoștințele generale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,skill/competence,transversal,"promovează idei, produse sau servicii",released,îi convinge pe alții | este capabil să închidă vânzările în mod regulat și cu încredere | vinde cu plăcere | convingător | prezintă produse | influențează deciziile | îi influențează pe alții,"Prezintă și promovează produse, programe și servicii cu scopul de a-i convinge și a-i influența pe alții.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Comunică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,skill/competence,transversal,îi motivează pe alții,released,stimulează acțiunea | inspiră pe ceilalți,"Coordonează comportamentul altor oameni, oferindu-le un motiv convingător pentru a acționa.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,Conduce pe alții
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c,skill/competence,transversal,respectă obligațiile de confidențialitate,released,protejează confidențialitatea | asigură discreție absolută | gestionează informațiile sensibile | este discret | asigură confidențialitatea | păstrează informațiile secrete,"Respectă discreția și reținerea necesare în ceea ce privește informațiile confidențiale, secrete sau neplăcute.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,Respectă codul de conduită etică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,skill/competence,transversal,planifică,released,efectuează planificarea | planifică activități,"Gestionează calendarul și resursele pentru a finaliza sarcinile în timp util.
	",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,Planifică și organizează
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ef7562b2-f176-4d7c-a0b2-27ae8cce0b7d,skill/competence,transversal,reacționează la schimbări fizice sau pericole,released,dă dovadă de agilitate | este reactiv | arată receptivitate,"Reacționează rapid și adecvat la circumstanțe și stimuli externi sau interni.
	",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,Răspunde la circumstanțe fizice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d,skill/competence,transversal,aplică măsuri de securitate digitală,released,actualizează măsurile de securitate online | implementează măsuri de securitate digitală | elimină virușii și programele malware de pe un computer | protejează dispozitivele TIC | protejează dispozitivele digitale | folosește software antivirus | protejează datele personale,"Urmărește modalități simple de protejare a dispozitivelor și a conținutului digital.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Utilizează dispozitivele și aplicațiile digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1,skill/competence,transversal,își exercită drepturile și responsabilitățile,released,participă la luarea deciziilor democratice | demonstrează interes pentru evenimentele curente,"Cunoaște și face uz de drepturile constituționale și juridice, inclusiv de obligația de a respecta legea, de a plăti impozite și de a acorda asistență, precum și dreptul de a vota, de a fi ales sau de a avea un avocat al apărării în cazul unui proces.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,Aplică  aptitudini și competențe civice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa46a48d-9cb9-422d-afab-1047654dbcdd,skill/competence,transversal,memorează informații,released,memorează informațiile | principii mnemonice | își amintește informații | învață informații pe de rost | memorează fapte | memorează proceduri,"Stochează informații precum cuvinte, cifre, fotografii și proceduri pentru o recuperare ulterioară.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Prelucrează informațiile, ideile și conceptele"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,skill/competence,transversal,are o minte deschisă,released,demonstrează libertatea de prejudecăți | este deschis la minte | preia idei și experiențe noi | arată acceptarea celorlalți,"Este interesat(ă) și deschis(ă) la problemele celorlalți.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Demonstrează disponibilitatea de a învăța
